Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1511,Pau López,es ESP,GK,Marseille,fr Ligue 1,28,1994,32.7,1,0,0,0,12,0,0,0,0,0,0,0,38,3,0,100.0,Matches
1512,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27,1995,23.4,8,0,0,60,22,3,73,16,24,0,0,0,160,16,19,45.7,Matches
1513,Dion Lopy,sn SEN,MF,Almería,es La Liga,21,2002,21.3,5,0,0,30,40,0,7,15,37,0,0,0,149,31,12,72.1,Matches
1514,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37,1986,28.6,10,0,0,38,22,5,6,25,37,0,0,0,136,82,54,60.3,Matches
1515,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24,1998,20.0,4,0,0,12,25,0,20,16,28,0,1,0,72,21,15,58.3,Matches
1516,Tom Louchet,fr FRA,"MF,DF",Nice,fr Ligue 1,20,2003,4.5,1,0,0,7,4,0,33,3,5,1,0,0,13,4,8,33.3,Matches
1517,Imran Louza,ma MAR,MF,Lorient,fr Ligue 1,24,1999,9.6,1,0,0,16,15,0,53,9,7,0,0,0,57,9,8,52.9,Matches
1518,Matteo Lovato,it ITA,DF,Torino,it Serie A,23,2000,6.0,2,0,0,14,0,0,0,13,7,0,1,0,18,11,9,55.0,Matches
1519,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23,2000,10.5,2,0,0,7,5,0,1,18,14,0,2,0,47,15,18,45.5,Matches
1520,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34,1989,8.0,2,1,0,12,1,0,3,12,7,0,0,0,33,24,10,70.6,Matches
1521,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25,1998,22.1,1,1,0,25,23,1,82,21,12,0,0,0,118,8,18,30.8,Matches
1522,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,26,1997,5.6,1,0,0,7,3,1,8,5,10,0,0,0,7,5,11,31.3,Matches
1523,Anthony Lozano,hn HON,"MF,FW",Getafe,es La Liga,30,1993,1.0,1,0,0,6,1,1,1,0,0,0,0,0,2,7,7,50.0,Matches
1524,Anthony Lozano,hn HON,FW,Almería,es La Liga,30,1993,8.6,1,0,0,22,20,5,4,2,5,1,0,0,20,21,44,32.3,Matches
1525,Lucas,br BRA,DF,Cádiz,es La Liga,22,2001,17.1,6,0,0,12,6,2,72,17,27,0,0,0,92,11,23,32.4,Matches
1526,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,22,2000,28.8,6,0,0,52,54,21,8,3,11,0,0,0,71,95,93,50.5,Matches
1527,Jhon Lucumí,co COL,DF,Bologna,it Serie A,25,1998,24.6,1,0,0,10,18,1,1,16,29,0,0,0,136,29,28,50.9,Matches
1528,José Luis Gayà,es ESP,DF,Valencia,es La Liga,28,1995,19.9,2,0,0,24,12,1,82,11,36,0,0,0,112,11,9,55.0,Matches
1529,José Luis Morales,es ESP,"FW,MF",Villarreal,es La Liga,36,1987,11.6,0,0,0,3,4,13,10,7,3,0,0,0,38,2,12,14.3,Matches
1530,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33,1990,0.3,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,100.0,Matches
1531,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25,1998,33.3,12,0,0,51,41,0,115,23,38,0,0,0,184,25,18,58.1,Matches
1532,Romelu Lukaku,be BEL,FW,Roma,it Serie A,30,1993,29.3,5,1,0,24,17,25,13,0,5,0,0,0,52,51,55,48.1,Matches
1533,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,20,2002,24.3,3,0,0,8,23,1,5,12,12,0,0,0,158,32,27,54.2,Matches
1534,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,25,1997,12.5,0,0,0,24,22,4,36,2,2,0,1,0,33,12,13,48.0,Matches
1535,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26,1996,12.5,3,0,0,27,9,0,4,16,19,0,0,0,65,11,8,57.9,Matches
1536,Karlo Lulić,hr CRO,MF,Frosinone,it Serie A,27,1996,0.2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0,Matches
1537,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24,1999,21.0,2,0,0,0,3,0,0,0,0,0,0,0,17,8,0,100.0,Matches
1538,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26,1996,37.8,4,0,0,26,18,1,12,32,26,0,0,0,142,77,58,57.0,Matches
1539,Mateus Lusuardi,br BRA,DF,Frosinone,it Serie A,19,2004,2.4,1,0,0,2,0,0,1,4,1,0,1,0,7,3,1,75.0,Matches
1540,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,36,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
1541,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,21,2002,21.6,5,0,0,31,67,14,82,1,6,1,0,0,71,4,27,12.9,Matches
1542,Charalampos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29,1993,10.0,2,0,0,12,0,2,59,5,6,0,0,0,31,16,13,55.2,Matches
1543,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,24,1999,20.0,6,0,0,35,17,0,4,41,38,0,0,0,118,12,29,29.3,Matches
1544,Joshua M'Bahia,ci CIV,MF,Clermont Foot,fr Ligue 1,18,2005,0.2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
1545,Othmane Maamma,ma MAR,FW,Montpellier,fr Ligue 1,17,2005,1.0,0,0,0,0,1,0,4,0,3,0,0,0,9,0,1,0.0,Matches
1546,Ian Maatsen,nl NED,"FW,MF",Chelsea,eng Premier League,21,2002,2.3,1,0,0,5,1,0,8,3,2,0,0,0,11,3,5,37.5,Matches
1547,Ian Maatsen,nl NED,DF,Dortmund,de Bundesliga,21,2002,14.0,5,0,0,19,9,0,26,13,22,0,0,0,79,2,9,18.2,Matches
1548,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,24,1998,28.9,7,1,0,53,47,0,32,35,55,0,0,0,195,31,28,52.5,Matches
1549,Deiver Machado,co COL,DF,Lens,fr Ligue 1,29,1993,12.5,4,0,0,30,27,2,29,7,18,0,0,0,61,12,10,54.5,Matches
1550,Darwin Machís,ve VEN,MF,Cádiz,es La Liga,30,1993,8.7,0,1,0,12,14,2,64,4,14,0,0,0,53,3,10,23.1,Matches
1551,James Maddison,eng ENG,MF,Tottenham,eng Premier League,26,1996,23.7,5,0,0,21,74,2,133,13,19,0,0,0,60,3,6,33.3,Matches
1552,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21,2002,11.7,2,0,0,8,19,3,22,4,10,2,0,0,54,7,10,41.2,Matches
1553,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,26,1997,16.2,3,1,0,22,20,4,67,10,22,0,0,0,81,33,25,56.9,Matches
1554,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,25,1997,33.8,4,0,0,35,34,1,4,31,28,0,0,1,136,77,62,55.4,Matches
1555,Soungoutou Magassa,fr FRA,"DF,MF",Monaco,fr Ligue 1,19,2003,15.0,7,0,0,31,13,1,3,21,26,0,1,0,112,24,17,58.5,Matches
1556,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25,1998,20.0,9,1,1,39,37,1,3,24,29,0,1,0,134,24,46,34.3,Matches
1557,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,24,1998,18.9,7,2,0,31,7,1,7,22,21,0,1,0,85,51,24,68.0,Matches
1558,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27,1995,27.2,6,0,0,27,30,0,12,45,18,1,0,0,147,45,37,54.9,Matches
1559,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25,1998,26.0,6,0,0,21,17,2,20,18,27,0,0,0,156,13,23,36.1,Matches
1560,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,26,1997,18.7,2,0,0,37,23,1,14,19,31,0,0,0,97,31,30,50.8,Matches
1561,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,23,1999,16.0,5,0,0,41,23,3,17,4,14,0,0,0,63,35,54,39.3,Matches
1562,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30,1993,18.4,4,0,0,21,10,6,3,25,17,1,0,0,78,69,19,78.4,Matches
1563,Jon Magunazelaia,es ESP,"FW,MF",Real Sociedad,es La Liga,22,2001,1.3,0,0,0,2,3,0,3,0,3,0,0,0,7,1,4,20.0,Matches
1564,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
1565,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24,1999,11.1,0,0,0,4,4,0,85,6,9,0,1,0,58,6,4,60.0,Matches
1566,Habib Maïga,ci CIV,"MF,FW",Metz,fr Ligue 1,27,1996,1.6,0,0,0,4,2,0,1,4,2,0,0,0,17,2,1,66.7,Matches
1567,Mike Maignan,fr FRA,GK,Milan,it Serie A,28,1995,29.0,1,1,0,1,5,0,0,1,0,0,0,0,38,7,1,87.5,Matches
1568,Linton Maina,de GER,"FW,MF",Köln,de Bundesliga,24,1999,21.1,4,0,0,10,17,5,74,6,15,0,0,0,92,0,14,0.0,Matches
1569,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,28,1994,34.0,1,0,0,24,16,2,0,49,49,0,1,0,183,119,84,58.6,Matches
1570,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,18,2005,21.4,3,0,0,15,23,0,6,22,27,0,0,0,96,19,26,42.2,Matches
1571,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,25,1997,15.9,1,1,0,5,11,1,21,17,18,0,0,0,93,18,21,46.2,Matches
1572,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,23,1999,12.0,1,0,0,0,2,0,0,0,0,0,0,0,16,4,1,80.0,Matches
1573,Lovro Majer,hr CRO,MF,Rennes,fr Ligue 1,25,1998,0.2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,Matches
1574,Lovro Majer,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,25,1998,23.4,5,0,0,37,37,1,89,12,18,1,0,0,143,11,18,37.9,Matches
1575,Jean-Victor Makengo,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,1998,5.3,0,0,0,7,7,0,5,8,4,0,0,0,29,2,2,50.0,Matches
1576,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,21,2001,11.4,1,0,0,14,11,1,23,11,11,0,2,0,46,17,15,53.1,Matches
1577,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,25,1998,30.0,5,2,1,28,28,1,11,16,24,0,0,0,159,11,20,35.5,Matches
1578,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28,1995,36.3,4,0,0,20,13,1,5,46,43,0,1,0,140,70,61,53.4,Matches
1579,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,22,2001,6.7,1,0,0,10,1,0,6,13,13,0,1,0,31,9,10,47.4,Matches
1580,Daniel Maldini,it ITA,"MF,FW",Monza,it Serie A,21,2001,3.7,0,0,0,3,5,2,9,2,2,0,0,0,11,1,5,16.7,Matches
1581,Daniel Maldini,it ITA,"FW,MF",Empoli,it Serie A,21,2001,2.9,1,0,0,8,5,0,5,2,2,0,0,0,6,7,5,58.3,Matches
1582,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,24,1998,28.9,11,0,0,56,37,0,47,25,48,0,2,0,172,17,34,33.3,Matches
1583,Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,24,1999,19.8,5,0,0,11,24,3,39,2,7,1,0,0,71,7,19,26.9,Matches
1584,Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,30,1993,17.2,7,0,0,31,17,0,19,5,20,0,0,0,88,22,19,53.7,Matches
1585,Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,23,1999,25.4,1,0,0,44,15,0,4,25,26,0,2,1,132,67,49,57.8,Matches
1586,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
1587,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22,2000,36.5,3,1,0,3,4,0,0,2,3,0,1,0,34,9,1,90.0,Matches
1588,David Mamutovic,de GER,"FW,DF",Mainz 05,de Bundesliga,22,2000,0.1,0,0,0,0,2,0,1,0,1,0,0,0,2,0,1,0.0,Matches
1589,Wilson Manafá,pt POR,"DF,MF",Granada,es La Liga,29,1994,2.7,1,0,0,3,0,0,8,1,4,0,0,0,20,2,2,50.0,Matches
1590,Hianga Mananga Mbock,fr FRA,"MF,FW",Brest,fr Ligue 1,23,1999,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,Matches
1591,Gianluca Mancini,it ITA,DF,Roma,it Serie A,27,1996,31.9,9,0,0,49,31,0,24,36,20,0,0,0,106,42,33,56.0,Matches
1592,Marco Mancosu,it ITA,"MF,FW",Cagliari,it Serie A,34,1988,1.7,0,0,0,3,1,2,4,0,0,0,0,0,8,0,4,0.0,Matches
1593,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38,1985,34.0,1,0,0,1,7,0,0,0,0,0,1,1,37,9,1,90.0,Matches
1594,Christos Mandas,gr GRE,GK,Lazio,it Serie A,21,2001,8.0,0,0,0,0,1,0,0,1,0,0,0,0,10,2,0,100.0,Matches
1595,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,29,1994,8.1,2,0,0,14,8,0,6,15,22,0,0,0,53,12,10,54.5,Matches
1596,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,31,1991,12.4,3,0,0,7,5,0,0,8,8,0,1,0,49,12,11,52.2,Matches
1597,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,26,1997,17.6,5,0,0,26,24,0,34,9,11,0,0,0,60,31,39,44.3,Matches
1598,Orel Mangala,be BEL,MF,Nott'ham Forest,eng Premier League,25,1998,17.4,6,0,0,23,21,0,2,26,13,0,0,0,74,9,3,75.0,Matches
1599,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,25,1998,4.4,0,0,0,11,4,0,2,5,3,0,1,0,9,5,8,38.5,Matches
1600,Vito Mannone,it ITA,GK,Lille,fr Ligue 1,35,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
1601,Kostas Manolas,gr GRE,DF,Salernitana,it Serie A,32,1991,5.4,0,0,0,5,3,0,1,2,5,0,0,0,19,20,8,71.4,Matches
1602,Javier Manquillo,es ESP,"DF,MF",Celta Vigo,es La Liga,29,1994,8.3,3,0,0,14,4,0,5,3,11,0,0,0,30,13,10,56.5,Matches
1603,Braydon Manu,gh GHA,MF,Darmstadt 98,de Bundesliga,26,1997,1.9,1,0,0,4,1,0,4,0,0,0,0,0,7,0,3,0.0,Matches
1604,Benson Manuel,ao ANG,"MF,FW",Burnley,eng Premier League,26,1997,1.3,0,0,0,1,4,0,9,0,2,0,0,0,6,0,4,0.0,Matches
1605,Faitout Maouassa,fr FRA,"DF,MF",Granada,es La Liga,25,1998,2.5,0,0,0,3,3,0,20,1,5,0,0,0,11,3,1,75.0,Matches
1606,Faitout Maouassa,fr FRA,"MF,DF",Lens,fr Ligue 1,25,1998,0.8,0,0,0,2,1,0,3,0,1,0,0,0,1,2,1,66.7,Matches
1607,Marcão,br BRA,DF,Sevilla,es La Liga,27,1996,3.9,2,0,0,5,6,0,0,4,6,0,0,0,18,5,3,62.5,Matches
1608,Solly March,eng ENG,"FW,DF",Brighton,eng Premier League,29,1994,6.2,1,0,0,12,8,7,21,11,14,0,0,0,36,6,4,60.0,Matches
1609,Riccardo Marchizza,it ITA,DF,Frosinone,it Serie A,25,1998,12.8,1,0,0,6,3,0,22,7,6,0,0,0,43,9,12,42.9,Matches
1610,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,31,1992,25.2,4,0,0,26,21,0,14,25,10,0,3,0,95,39,38,50.6,Matches
1611,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,34,1989,25.1,5,0,0,22,12,5,121,15,39,0,0,0,124,13,16,44.8,Matches
1612,Alberto Marí,es ESP,FW,Valencia,es La Liga,22,2001,3.1,0,0,0,10,6,2,2,0,2,1,0,0,10,8,20,28.6,Matches
1613,José Mari,es ESP,"MF,FW",Cádiz,es La Liga,35,1987,0.2,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,,Matches
1614,Pablo Marí,es ESP,DF,Monza,it Serie A,29,1993,29.1,7,0,0,37,9,0,4,37,25,0,1,0,98,41,20,67.2,Matches
1615,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,28,1995,14.7,5,0,0,17,2,0,1,10,10,0,0,0,49,31,18,63.3,Matches
1616,Mariano,do DOM,"FW,MF",Sevilla,es La Liga,29,1993,2.7,1,0,0,8,1,3,1,0,1,1,0,0,8,9,9,50.0,Matches
1617,Mirko Marić,hr CRO,FW,Monza,it Serie A,28,1995,3.2,0,1,0,4,5,3,1,2,0,0,0,0,11,11,17,39.3,Matches
1618,Rafa Marín,es ESP,DF,Alavés,es La Liga,21,2002,27.1,6,0,0,28,16,0,1,33,20,0,0,1,117,56,43,56.6,Matches
1619,Răzvan Marin,ro ROU,MF,Empoli,it Serie A,27,1996,20.2,3,0,0,28,18,1,98,6,22,0,0,0,91,12,12,50.0,Matches
1620,Diego Mariño,es ESP,GK,Almería,es La Liga,33,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
1621,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,29,1994,19.6,0,1,0,21,6,1,0,30,8,0,0,0,81,47,38,55.3,Matches
1622,Mika Mármol,es ESP,DF,Las Palmas,es La Liga,22,2001,35.3,6,1,1,23,34,3,5,44,42,0,3,1,187,31,34,47.7,Matches
1623,Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,de Bundesliga,24,1999,25.6,7,0,0,28,74,12,33,11,11,2,1,0,90,27,29,48.2,Matches
1624,Marquinhos,br BRA,"FW,MF",Nantes,fr Ligue 1,20,2003,1.7,0,0,0,7,6,1,5,6,2,1,0,0,14,2,5,28.6,Matches
1625,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,29,1994,17.1,1,0,0,3,3,2,0,17,11,0,0,0,96,24,22,52.2,Matches
1626,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,21,2001,1.6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
1627,Agustín Martegani,ar ARG,MF,Salernitana,it Serie A,23,2000,8.1,1,0,0,10,14,0,1,4,7,0,0,0,51,6,5,54.5,Matches
1628,Eric Martel,de GER,MF,Köln,de Bundesliga,21,2002,27.3,6,0,0,52,41,2,19,43,43,1,1,0,152,70,54,56.5,Matches
1629,Roger Martí,es ESP,FW,Cádiz,es La Liga,32,1991,15.1,3,0,0,34,28,9,9,7,6,0,0,0,58,17,34,33.3,Matches
1630,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,27,1995,5.0,0,0,0,3,6,3,0,0,1,1,0,0,9,8,18,30.8,Matches
1631,Aarón Martín,es ESP,DF,Genoa,it Serie A,26,1997,15.3,4,1,1,23,17,2,106,9,10,0,0,0,48,8,11,42.1,Matches
1632,Iván Martín,es ESP,MF,Girona,es La Liga,24,1999,30.3,5,0,0,27,34,4,10,21,25,0,1,0,146,8,24,25.0,Matches
1633,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,17,2006,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
1634,Jonas Martin,fr FRA,MF,Brest,fr Ligue 1,33,1990,13.4,5,0,0,27,11,1,7,9,27,0,0,0,109,25,15,62.5,Matches
1635,Mario Martín,es ESP,MF,Real Madrid,es La Liga,19,2004,0.2,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,,Matches
1636,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,22,2001,22.4,1,0,0,23,24,9,109,5,24,0,0,0,95,15,26,36.6,Matches
1637,Tommaso Martinelli,it ITA,GK,Fiorentina,it Serie A,17,2006,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
1638,Arnau Martinez,es ESP,DF,Girona,es La Liga,20,2003,13.8,5,0,0,14,22,1,7,10,16,0,0,0,65,10,13,43.5,Matches
1639,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30,1992,33.5,4,0,0,1,7,0,0,0,0,0,0,2,48,5,0,100.0,Matches
1640,Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,32,1991,14.4,5,0,0,10,11,1,3,11,7,0,0,0,69,33,27,55.0,Matches
1641,Josep Martinez,es ESP,GK,Genoa,it Serie A,25,1998,36.0,4,1,1,2,11,0,0,1,0,0,1,0,61,13,1,92.9,Matches
1642,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,25,1997,29.5,5,0,0,46,59,12,15,20,16,2,1,0,90,38,27,58.5,Matches
1643,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,25,1998,7.2,3,0,0,6,3,0,2,5,8,0,0,1,33,4,5,44.4,Matches
1644,Marc Martínez,es ESP,GK,Granada,es La Liga,33,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
1645,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,27,1996,25.5,9,0,0,41,13,1,5,30,47,0,0,0,141,49,55,47.1,Matches
1646,Adam Marušić,me MNE,DF,Lazio,it Serie A,30,1992,34.4,3,1,0,24,10,4,44,29,31,0,1,0,154,32,33,49.2,Matches
1647,Marvin,es ESP,"FW,DF",Las Palmas,es La Liga,23,2000,20.6,5,0,0,39,26,4,91,14,25,0,1,0,101,15,40,27.3,Matches
1648,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,30,1993,17.5,8,1,1,31,14,0,4,31,16,0,0,1,103,30,24,55.6,Matches
1649,Adam Masina,ma MAR,DF,Udinese,it Serie A,29,1994,0.7,2,0,0,3,0,0,0,2,0,0,0,0,5,4,1,80.0,Matches
1650,Adam Masina,ma MAR,DF,Torino,it Serie A,29,1994,11.4,0,0,0,18,5,0,4,11,12,0,1,0,49,22,14,61.1,Matches
1651,Erhan Mašović,rs SRB,"DF,MF",Bochum,de Bundesliga,24,1998,24.7,7,0,0,22,15,0,5,25,40,0,0,1,117,35,53,39.8,Matches
1652,Han-Noah Massengo,fr FRA,"MF,DF",Burnley,eng Premier League,22,2001,0.2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0,Matches
1653,Roberto Massimo,de GER,"FW,DF",Stuttgart,de Bundesliga,22,2000,0.9,1,0,0,2,1,0,0,0,0,0,0,0,8,1,3,25.0,Matches
1654,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,30,1992,24.7,6,0,0,29,37,1,52,40,24,0,0,0,145,27,27,50.0,Matches
1655,Jaime Mata,es ESP,"FW,MF",Getafe,es La Liga,34,1988,19.9,10,1,1,63,25,31,39,17,15,0,0,0,58,49,65,43.0,Matches
1656,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,20,2002,23.0,9,0,0,32,17,0,25,31,24,0,0,0,144,24,27,47.1,Matches
1657,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,21,2002,1.1,2,0,0,5,1,0,1,3,1,0,0,0,12,4,1,80.0,Matches
1658,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,26,1997,25.4,3,0,0,35,22,24,20,4,15,2,0,0,81,50,68,42.4,Matches
1659,Nemanja Matić,rs SRB,MF,Rennes,fr Ligue 1,34,1988,11.4,7,0,0,14,16,1,5,27,10,0,0,0,106,19,12,61.3,Matches
1660,Nemanja Matić,rs SRB,MF,Lyon,fr Ligue 1,34,1988,13.9,2,0,0,8,8,0,4,16,11,0,0,1,103,20,10,66.7,Matches
1661,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,31,1991,8.7,2,0,0,7,3,1,0,9,6,0,0,1,58,28,10,73.7,Matches
1662,Alex Matos,eng ENG,MF,Chelsea,eng Premier League,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
1663,Chrislain Matsima,fr FRA,DF,Clermont Foot,fr Ligue 1,21,2002,13.1,2,0,0,12,10,1,0,13,11,0,3,0,67,23,13,63.9,Matches
1664,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,21,2002,3.3,2,0,0,10,2,0,0,4,7,0,1,0,23,10,8,55.6,Matches
1665,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,18,2005,2.0,0,0,0,1,1,1,6,1,1,0,0,0,15,1,4,20.0,Matches
1666,Remi Matthews,eng ENG,GK,Crystal Palace,eng Premier League,29,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
1667,Alan Matturro,uy URU,DF,Genoa,it Serie A,18,2004,1.2,0,0,0,0,0,0,0,2,1,0,0,1,6,3,2,60.0,Matches
1668,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,25,1998,15.4,3,0,0,16,10,0,0,33,27,0,0,0,117,25,15,62.5,Matches
1669,Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,25,1998,8.8,2,0,0,8,8,0,1,11,3,0,0,0,38,13,8,61.9,Matches
1670,Neal Maupay,fr FRA,FW,Brentford,eng Premier League,26,1996,14.7,8,0,0,19,26,4,8,2,7,0,0,0,60,14,41,25.5,Matches
1671,Neal Maupay,fr FRA,FW,Everton,eng Premier League,26,1996,1.2,0,0,0,1,0,2,0,0,0,0,0,0,4,0,2,0.0,Matches
1672,Aïman Maurer,ma MAR,"MF,FW",Clermont Foot,fr Ligue 1,18,2004,0.6,0,0,0,0,0,0,4,0,1,0,0,0,2,0,3,0.0,Matches
1673,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,25,1997,16.7,2,0,0,15,10,0,1,23,16,0,0,2,70,44,23,65.7,Matches
1674,Christian Mawissa,fr FRA,DF,Toulouse,fr Ligue 1,18,2005,12.4,3,0,0,13,9,0,4,22,15,0,0,0,76,19,27,41.3,Matches
1675,Philipp Max,de GER,DF,Eint Frankfurt,de Bundesliga,29,1993,15.0,2,0,0,7,9,2,59,7,17,0,1,0,65,12,16,42.9,Matches
1676,Eric Maxim Choupo-Moting,cm CMR,"MF,FW",Bayern Munich,de Bundesliga,34,1989,8.0,1,0,0,10,7,2,11,7,12,0,0,0,41,15,9,62.5,Matches
1677,Luís Maximiano,pt POR,GK,Almería,es La Liga,24,1999,33.0,1,0,0,1,3,0,0,0,0,0,1,0,42,4,0,100.0,Matches
1678,Noam Mayoka-Tika,be BEL,MF,Marseille,fr Ligue 1,19,2003,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
1679,Borja Mayoral,es ESP,FW,Getafe,es La Liga,26,1997,23.9,2,0,0,31,32,14,22,4,5,1,0,0,69,48,71,40.3,Matches
1680,Senny Mayulu,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,17,2006,3.6,0,0,0,8,3,1,13,3,8,0,0,0,21,0,0,,Matches
1681,Youssef Maziz,fr FRA,"FW,MF",Metz,fr Ligue 1,25,1998,1.4,0,0,0,1,2,0,4,1,0,0,0,0,6,2,2,50.0,Matches
